gps,month,day,hour,min,year,tag_id,mlat,mlon
3,5,11,8,22,2016,985153000371477,10.742960257925,124.78712385055
3,5,12,2,28,2016,985153000403137,10.633274945425,124.77686417057501
3,5,12,2,32,2016,985153000372731,10.633290682475,124.77689424065
3,5,12,2,43,2016,985153000352732,10.633351178825,124.776836175
3,5,12,2,43,2016,985153000403248,10.633351178825,124.776836175
3,5,12,3,5,2016,985153000368572,10.633555089575001,124.776798645
3,5,12,3,5,2016,985153000403897,10.633555089575001,124.776798645
3,5,12,3,5,2016,985153000405540,10.633555089575001,124.776798645
3,5,12,3,15,2016,985153000400949,10.633626838675,124.7767978278
3,5,12,3,15,2016,985153000405478,10.633626838675,124.7767978278
3,5,12,3,15,2016,985153000407417,10.633626838675,124.7767978278
3,5,12,3,25,2016,985153000402239,10.633678534074999,124.77680132725
3,5,12,3,33,2016,985153000353312,10.633743556675,124.7767837881
3,5,12,3,40,2016,985153000405853,10.633871799825,124.77672656065
3,5,12,4,5,2016,985153000402535,10.633905830325,124.77663364727499
3,5,12,4,5,2016,985153000407128,10.633905830325,124.77663364727499
3,5,12,5,55,2016,985153000402570,10.63308901385,124.77710552745
3,5,12,5,55,2016,985153000406811,10.63308901385,124.77710552745
3,5,12,5,58,2016,985153000407233,10.633093330525,124.777052931
3,5,12,6,15,2016,985153000401362,10.63324810235,124.77710020495
3,5,12,6,15,2016,985153000401628,10.63324810235,124.77710020495
3,5,12,6,15,2016,985153000404860,10.63324810235,124.77710020495
3,5,12,6,44,2016,985153000404750,10.633169207725,124.77695360545
3,5,12,6,56,2016,985153000405925,10.633365951950001,124.777056011375
3,5,12,7,9,2016,985153000406330,10.633446711575,124.776935186225
3,5,12,7,34,2016,985153000406031,10.63371269035,124.7768841195
3,5,12,7,35,2016,985153000401620,10.633717069875,124.77689797057499
3,5,12,7,36,2016,985153000403295,10.633735153825,124.776942143225
3,5,12,7,39,2016,985153000404956,10.633735237649999,124.7769188206
3,5,12,7,46,2016,985153000400546,10.633839801875,124.776899521275
3,5,14,3,21,2016,985153000356801,10.8746589208,124.71070989500001
3,5,14,3,45,2016,985153000371943,10.874420015625,124.71066480035
3,5,14,3,46,2016,985153000364576,10.87440706555,124.71067523585
3,5,14,4,26,2016,985153000371224,10.874363500625,124.71076383255
3,5,14,4,26,2016,985153000373373,10.874363500625,124.71076383255
3,5,14,4,40,2016,985153000402873,10.87436547035,124.71080140445
3,5,14,4,40,2016,985153000403168,10.87436547035,124.71080140445
3,5,14,4,54,2016,985153000404875,10.874319097499999,124.710854629525
3,5,14,5,10,2016,985153000401772,10.874317735425,124.71087216865
3,5,14,5,29,2016,985153000353794,10.874258747775,124.7109944187
3,5,14,5,29,2016,985153000404213,10.874258747775,124.7109944187
3,5,14,6,44,2016,985153000402963,10.874157263899999,124.71093450905
3,5,14,7,8,2016,985153000352056,10.873924288875,124.710923130625
3,5,14,7,8,2016,985153000407411,10.873924288875,124.710923130625
3,5,14,7,29,2016,985153000406505,10.87375424105,124.71083139070001
3,5,14,7,42,2016,985153000399653,10.873700932125,124.71067756182501
3,5,14,8,11,2016,985153000405736,10.873935562549999,124.710774582325
3,5,15,2,9,2016,985153000404281,10.873746613525,124.71112630797501
3,5,15,2,47,2016,985153000351496,10.873764886075,124.71124160105
3,5,15,2,47,2016,985153000407023,10.873764886075,124.71124160105
3,5,15,2,51,2016,985153000403244,10.873766625275,124.711410265875
3,5,15,4,51,2016,985153000404497,10.87353821845,124.71109003527499
3,5,15,4,52,2016,985153000404272,10.873498362525,124.71103769027499
3,5,15,5,24,2016,985153000406261,10.8736451715,124.7115150816
3,5,15,5,52,2016,985153000407337,10.8734970214,124.711817521575
3,5,15,5,52,2016,985153000407425,10.8734970214,124.711817521575
3,5,15,6,34,2016,985153000407324,10.87310426635,124.712005611525
3,5,16,2,0,2016,985153000404328,10.87354775285,124.7121306695
3,5,16,2,0,2016,985153000407139,10.87354775285,124.7121306695
3,5,16,2,20,2016,985153000352066,10.87353098905,124.7120182682
3,5,16,2,20,2016,985153000406251,10.87353098905,124.7120182682
3,5,16,2,43,2016,985153000400989,10.873301806875,124.712179598875
3,5,16,2,43,2016,985153000407421,10.873301806875,124.712179598875
3,5,16,2,55,2016,985153000400903,10.87335557675,124.712218595675
3,5,16,3,5,2016,985153000406307,10.873305578724999,124.712216709725
3,5,16,3,24,2016,985153000407175,10.873238879725001,124.712090520175
3,5,16,3,35,2016,985153000400619,10.873078554875,124.712148502
3,5,16,3,43,2016,985153000400487,10.873108017275,124.712202020475
3,5,16,3,43,2016,985153000401582,10.873108017275,124.712202020475
3,5,16,5,15,2016,985153000402481,10.873030861825,124.71218768739999
3,5,16,5,23,2016,985153000402472,10.873089639949999,124.71216914245
3,5,16,5,31,2016,985153000407358,10.873095255825,124.7121591889
3,5,16,5,50,2016,985153000405493,10.87294081925,124.712231063775
3,5,16,6,16,2016,985153000352985,10.87289390155,124.712195964525
3,5,16,6,16,2016,985153000400062,10.87289390155,124.712195964525
3,5,16,6,24,2016,985153000400619,10.872865843125,124.7122650314
3,5,16,6,43,2016,985153000400715,10.872967012675,124.7121328907
3,5,17,1,46,2016,985153000403761,10.855579907075,124.72689340125001
3,5,17,2,21,2016,985153000405499,10.8551474847,124.7274061013
3,5,17,2,27,2016,985153000400925,10.85500882705,124.727592326225
3,5,17,2,38,2016,985153000404499,10.855036340649999,124.727641213675
3,5,17,2,38,2016,985153000407422,10.855036340649999,124.727641213675
3,5,17,2,58,2016,985153000407113,10.854984603350001,124.72752053525
3,5,17,3,15,2016,985153000402132,10.8548702323,124.72757231445
3,5,17,3,15,2016,985153000404104,10.8548702323,124.72757231445
3,5,17,3,17,2016,985153000402985,10.85492352025,124.72767170285
3,5,17,3,18,2016,985153000403264,10.854944621675,124.727717111825
3,5,17,3,46,2016,985153000404075,10.854801479725,124.7277118312
3,5,17,5,30,2016,985153000350983,10.86136388125,124.72146915740001
3,5,17,5,36,2016,985153000407326,10.8614124125,124.72146073355
3,5,17,5,40,2016,985153000399528,10.86139742985,124.721440281725
3,5,17,6,0,2016,985153000404937,10.861375175900001,124.7215009667
3,5,18,1,47,2016,985153000403760,10.640742068649999,124.78518566115
3,5,18,1,47,2016,985153000403872,10.640742068649999,124.78518566115
3,5,18,1,47,2016,985153000405190,10.640742068649999,124.78518566115
3,5,18,2,1,2016,985153000404764,10.640804471925001,124.784925549775
3,5,18,2,1,2016,985153000407657,10.640804471925001,124.784925549775
3,5,18,2,25,2016,985153000403242,10.640654582525,124.7845599102
3,5,18,2,42,2016,985153000401844,10.640656028425,124.784080947275
3,5,18,2,42,2016,985153000407050,10.640656028425,124.784080947275
3,5,18,2,50,2016,985153000401611,10.640665688575,124.784052658375
3,5,18,2,50,2016,985153000404563,10.640665688575,124.784052658375
3,5,18,3,23,2016,985153000401446,10.64087167385,124.7835467686
3,5,18,3,23,2016,985153000405309,10.64087167385,124.7835467686
3,5,18,5,20,2016,985153000403023,10.652856349475,124.7834787285
3,5,18,5,58,2016,985153000351375,10.652721023675,124.78342713787501
3,5,18,6,6,2016,985153000404952,10.65266353636,124.7832866069
3,5,18,6,21,2016,985153000353259,10.652258468325,124.782807715225
3,5,18,6,21,2016,985153000407544,10.652258468325,124.782807715225
3,5,18,6,25,2016,985153000405147,10.6518668658,124.782892770575
3,5,18,6,25,2016,985153000405158,10.6518668658,124.782892770575
3,5,18,6,34,2016,985153000402171,10.65195114585,124.782962591825
