"lat","lon","date","site","anem_id","anem_obs"
10.87169625,124.71398575,"2014-06-24","Wangag","651",NA
10.87170025,124.71391825,"2014-06-24","Wangag","653",NA
10.87168725,124.7138985,"2014-06-24","Wangag","654",NA
10.871779,124.71381975,"2014-06-24","Wangag","659",NA
10.871827,124.7138085,"2014-06-24","Wangag","661",NA
10.8718405,124.7137845,"2014-06-24","Wangag","663",NA
10.87198825,124.71385425,"2014-06-24","Wangag","665",NA
10.74388375,124.78634725,"2014-06-07","Visca","375",NA
10.7435755,124.78662025,"2014-06-07","Visca","376",NA
10.87146075,124.71408125,"2014-06-24","Wangag","668",NA
10.74289975,124.78706675,"2014-06-07","Visca","284",NA
10.8714445,124.714019,"2014-06-24","Wangag","669",NA
10.763844,124.78520525,"2014-06-10","Poroc San Flower","377",NA
10.87144675,124.713942,"2014-06-24","Wangag","671",NA
10.76409925,124.78531725,"2014-06-10","Poroc San Flower","378",NA
10.87140775,124.71396,"2014-06-24","Wangag","172",NA
10.7641945,124.78526,"2014-06-10","Poroc San Flower","379",NA
10.87138975,124.7140445,"2014-06-24","Wangag","170",NA
10.76423775,124.78525775,"2014-06-10","Poroc San Flower","22",NA
10.764209,124.7852685,"2014-06-10","Poroc San Flower","380",NA
10.7643415,124.785285,"2014-06-10","Poroc San Flower","381",NA
10.86007275,124.722842,"2014-06-26","Magbangon","675",NA
10.764417,124.78531925,"2014-06-10","Poroc San Flower","14",NA
10.7645335,124.78543825,"2014-06-10","Poroc San Flower","382",NA
10.8598105,124.722675,"2014-06-26","Magbangon","677",NA
10.859769,124.722689,"2014-06-26","Magbangon","678",NA
10.8598065,124.72262225,"2014-06-26","Magbangon","679",NA
10.855542,124.7266095,"2014-06-11","Cabatoan","383",NA
10.8553015,124.7267875,"2014-06-11","Cabatoan","384",NA
10.855118,124.72704925,"2014-06-11","Cabatoan","385",NA
10.860856,124.7220265,"2014-06-26","Magbangon","501",NA
10.854869,124.727533,"2014-06-11","Cabatoan","386",NA
10.86107125,124.7217305,"2014-06-26","Magbangon","514",NA
10.85495275,124.7278565,"2014-06-11","Cabatoan","387",NA
10.85540525,124.7270805,"2014-06-26","Cabatoan","689",NA
10.8549915,124.72777925,"2014-06-11","Cabatoan","-9999",NA
10.8550505,124.727724,"2014-06-11","Cabatoan","388",NA
10.855066,124.72768225,"2014-06-11","Cabatoan","389",NA
10.85596525,124.7262855,"2014-06-26","Cabatoan","690",NA
10.85513525,124.727406,"2014-06-11","Cabatoan","390",NA
10.8555095,124.7261885,"2014-06-26","Cabatoan","692",NA
10.65327525,124.7839755,"2014-06-12","Tamakin Dacot","392",NA
10.652582,124.7837865,"2014-06-12","Tamakin Dacot","393",NA
10.65240475,124.783705,"2014-06-12","Tamakin Dacot","394",NA
10.6521445,124.78382225,"2014-06-12","Tamakin Dacot","395",NA
10.8091725,124.76537,"2014-06-28","Hicgop South","698",NA
10.809253,124.765346,"2014-06-28","Hicgop South","699",NA
10.6521625,124.7832825,"2014-06-12","Tamakin Dacot","396",NA
10.65198425,124.7830225,"2014-06-12","Tamakin Dacot","397",NA
10.798447,124.76865175,"2014-06-29","Elementary School","702",NA
10.63364,124.7766735,"2014-06-12","Sitio Baybayon","398",NA
10.633642,124.77664975,"2014-06-12","Sitio Baybayon","399",NA
10.63366625,124.776769,"2014-06-12","Sitio Baybayon","400",NA
10.633676,124.776794,"2014-06-12","Sitio Baybayon","401",NA
10.63364275,124.77677625,"2014-06-12","Sitio Baybayon","402",NA
10.6336265,124.77679675,"2014-06-12","Sitio Baybayon","403",NA
10.63360275,124.77680225,"2014-06-12","Sitio Baybayon","404",NA
10.768577,124.783938,"2014-06-29","San Agustin","710",NA
10.63356775,124.77680475,"2014-06-12","Sitio Baybayon","405",NA
10.76883075,124.7837515,"2014-06-29","San Agustin","711",NA
10.63356,124.77678975,"2014-06-12","Sitio Baybayon","406",NA
10.63356825,124.776761,"2014-06-12","Sitio Baybayon","407",NA
10.7691915,124.7836405,"2014-06-29","San Agustin","713",NA
10.7693215,124.78357175,"2014-06-29","San Agustin","714",NA
10.633763,124.7768785,"2014-06-12","Sitio Baybayon","408",NA
10.6338315,124.776881,"2014-06-12","Sitio Baybayon","409",NA
10.6338445,124.77684225,"2014-06-12","Sitio Baybayon","410",NA
10.76900125,124.78373725,"2014-06-29","San Agustin","716",NA
10.7561805,124.7856435,"2014-07-01","Poroc Rose","718",NA
10.756462,124.785792,"2014-07-01","Poroc Rose","27",NA
10.633935,124.776684,"2014-06-12","Sitio Baybayon","411",NA
10.63394,124.77657275,"2014-06-12","Sitio Baybayon","412",NA
10.7551065,124.78508525,"2014-07-01","Poroc Rose","723",NA
10.7531675,124.78437,"2014-07-01","Poroc Rose","724",NA
10.8734145,124.712124,"2014-06-13","Palanas","413",NA
10.85842225,124.72434125,"2014-07-02","Palanas","207",NA
10.87441,124.7106715,"2014-07-02","Palanas","726",NA
10.87336575,124.7121375,"2014-06-13","Palanas","414",NA
10.8743855,124.710784,"2014-07-02","Palanas","728",NA
10.87320525,124.712165,"2014-06-13","Palanas","415",NA
10.8731805,124.712174,"2014-06-13","Palanas","417",NA
10.87434,124.71084225,"2014-07-02","Palanas","729",NA
10.87428475,124.7106445,"2014-07-02","Palanas","733",NA
