"","anem_obs","lat2","lon2"
"175",232,10.87344927823,124.711450715488
"176",233,10.6340311188333,124.776580624767
"177",234,10.6410887162167,124.778509223842
"178",235,10.7433787977688,124.786777334809
"179",236,10.8731132349875,124.711756920437
"180",237,10.87149759695,124.7141501319
"181",238,10.63448180875,124.776736492975
"182",239,10.8729898862964,124.711594928186
"183",240,10.6327686016417,124.776775517958
"184",241,10.8730636665,124.711621039312
"185",242,10.874330014925,124.710610684713
"186",243,10.7984759705139,124.768622855181
"187",244,10.8730863919375,124.711590120563
"188",245,10.7644398626824,124.785374923764
"189",246,10.6337456102417,124.776952697442
"190",247,10.8609133637417,124.72178025635
"191",248,10.8738927729417,124.7104610852
"192",249,10.8741378424139,124.710694063811
"193",250,10.873116021975,124.712191867863
"194",251,10.8743152472975,124.710854321056
"195",252,10.8738294372,124.710749845263
"196",253,10.8699205575875,124.71584201905
"197",254,10.6341003071857,124.776493097043
"198",255,10.8694655837812,124.716185905994
"199",256,10.6341744808,124.776380168025
"200",257,10.6340307304417,124.776589722858
"201",258,10.634503705325,124.776360510025
"202",259,10.6412202702,124.778334663733
"203",260,10.874343928875,124.71078120405
"204",261,10.7438442762875,124.786533848375
"205",262,10.6334896868625,124.7769103045
"206",264,10.7434130169,124.786929935212
"207",265,10.868888441475,124.716446532413
"208",266,10.87450101243,124.710588807344
"209",267,10.8733071014333,124.712175086608
"210",268,10.633415905325,124.777012747775
"211",270,10.873619266825,124.711555220654
"212",271,10.873186905425,124.712092970631
"213",272,10.868936798075,124.716597804792
"214",273,10.874395849775,124.710643938937
"215",274,10.8692026200375,124.71580249505
"216",275,10.777589771945,124.737369259465
"217",276,10.633143718,124.777050183525
"218",277,10.76861239505,124.783877658192
"219",278,10.6330116069833,124.777057652817
"220",279,10.8099519597812,124.731568383806
"221",280,10.6333611113875,124.7768484021
"222",281,10.6326978583833,124.776681947983
"223",282,10.874247128375,124.71082659205
"224",283,10.873530203225,124.712160467175
"225",284,10.63294603205,124.776959362842
"226",285,10.87350740445,124.7120942711
"227",286,10.633748564875,124.776938930167
"228",287,10.6406872876625,124.780851164244
"229",288,10.8743103041121,124.710652625018
"230",289,10.87430721615,124.71089731435
"231",291,10.87130875975,124.714208514337
"232",292,10.744503,124.78598875
"233",293,10.8714495215125,124.71419008215
"234",294,10.6413271813667,124.778241114683
