"","note","lat","lon","era"
"1","2624",10.8729098481125,124.712139281888,"EMPT"
"2","432",10.873171656875,124.711991529925,"EMPT"
"3","2223",10.8735532011,124.71098356415,"EMPT"
"4","2948",10.87453101295,124.71059112345,"EMPT"
"5","2974",10.871380360325,124.71404339885,"EMPT"
"6","1142",10.871487816325,124.7138797422,"EMPT"
"7","2799",10.633619839775,124.776821234275,"EMPT"
"8","2809",10.633996480625,124.776913246625,"EMPT"
"9","771",10.634489294625,124.776556428975,"EMPT"
"10","2828",10.634007188475,124.77658943275,"EMPT"
"11","2181",10.633876367925,124.7766256635,"EMPT"
"12","446",10.6409002561,124.783559425275,"EMPT"
"13","268",10.873784332075,124.711235545075,"EMPT"
"14","956",10.873526274225,124.711609482775,"EMPT"
"15","2154",10.6326782168,124.776717131025,"EMPT"
"16","2785",10.6326727057,124.77688449665,"EMPT"
"17","2537",10.6326982705,124.776876952975,"EMPT"
"18","2783",10.6327865319,124.77680239595,"EMPT"
"19","2773",10.632928458475,124.77694482545,"EMPT"
"20","2692",10.8688163152,124.716453196,"EMPT"
"21","2706",10.869134932275,124.716357411825,"EMPT"
"22","585",10.869116554975,124.716380944,"EMPT"
"23","883",10.873309392475,124.712109819525,"EMPT"
"24","415",10.87320807625,124.71216641835,"EMPT"
"25","280",10.87318787585,124.712156129525,"EMPT"
"26","2655",10.7533567096,124.7843888565,"EMPT"
"27","2131",10.7533382903667,124.784394716867,"EMPT"
"28","901",10.755132311,124.785061923325,"EMPT"
"29","2653",10.75649017935,124.785856360125,"EMPT"
"30","2651",10.756582359325,124.785928213975,"EMPT"
"31","2319",10.7636668277,124.78529016255,"EMPT"
"32","2649",10.7640840858,124.785248246067,"EMPT"
"33","2318",10.7643160899,124.785325094125,"EMPT"
"34","903",10.764472202875,124.785388482275,"EMPT"
"35","381",10.7642745995,124.785326791462,"EMPT"
"36","848",10.764215255625,124.7853144072,"EMPT"
"37","2280",10.7686154265,124.783888561633,"EMPT"
"38","1312",10.7691159099333,124.783685551967,"EMPT"
"39","454",10.6528533529667,124.783736011,"EMPT"
"40","c(3179, 793)",10.65211723535,124.784259249232,"EMPT"
"41","214",10.8561905846333,124.725872715967,"EMPT"
"42","213",10.856209639475,124.725873847475,"EMPT"
"43","2430",10.8571429085333,124.725187495367,"EMPT"
"44","305",10.811168225475,124.764564922075,"EMPT"
"45","2298",10.8106613718,124.76480820685,"EMPT"
"46","2255",10.83601354855,124.746677123475,"EMPT"
"47","2648",10.7640976470625,124.785204248038,"EMPT"
"48","225",10.86911075,124.7164385,"EMPT"
"49","941",10.8737183455375,124.711190272363,"EMPT"
"50","714",10.76931577715,124.7835098681,"EMPT"
"51","673",10.871369098125,124.714092401587,"EMPT"
"52","345",10.8715143333333,124.714265666667,"EMPT"
"53","436",10.87367001505,124.711469571463,"EMPT"
"54","801",10.7434017222813,124.786908928075,"EMPT"
"55","170",10.8713626644313,124.714143833019,"EMPT"
"56","237",10.869268625,124.716345125,"EMPT"
"57","1016",10.633300517225,124.776860349817,"EMPT"
"58","2034",10.8714495215125,124.71419008215,"EMPT"
"59","78",10.652832625,124.783721375,"EMPT"
"60","931",10.8553129853625,124.726768751875,"EMPT"
"61","174",10.87136228275,124.71418810485,"EMPT"
"62","481",10.873738571375,124.710897775008,"EMPT"
"63","2848",10.6413443363167,124.778232006358,"EMPT"
"64","203",10.857498331325,124.72489926795,"EMPT"
"65","413",10.8733268788375,124.712172954731,"EMPT"
"66","256",10.8737887521125,124.71062161885,"EMPT"
"67","2163",10.6338582350917,124.776510167858,"EMPT"
"68","155",10.8718685555,124.7137106573,"EMPT"
"69","209",10.8586019617875,124.724405726412,"EMPT"
"70","800",10.6332839769333,124.776912673833,"EMPT"
"71","384",10.8552105155125,124.7267873827,"EMPT"
"72","2312",10.7436589314625,124.786780412525,"EMPT"
"73","565",10.6348595323125,124.77628310355,"EMPT"
"74","327",10.634208116375,124.776738921263,"EMPT"
"75","c(1056, 236)",10.8692926951125,124.716338593125,"EMPT"
"76","387",10.854935125,124.72782625,"EMPT"
