"lat","lon","date","site","anem_id","anem_obs"
10.74328775,124.78687425,"2012-05-13","Visca","13",NA
10.74344975,124.786597,"2012-05-13","Visca","12",NA
10.743441,124.7865465,"2012-05-13","Visca","11",NA
10.74361575,124.786447,"2012-05-13","Visca","10",NA
10.743745,124.7864415,"2012-05-13","Visca","9",NA
10.74385975,124.78638225,"2012-05-13","Visca","8",NA
10.7439305,124.786339,"2012-05-13","Visca","7",NA
10.74393,124.78630325,"2012-05-13","Visca","6",NA
10.7439965,124.786219,"2012-05-13","Visca","5",NA
10.74404175,124.78622,"2012-05-13","Visca","4",NA
10.7446935,124.7859775,"2012-05-13","Visca","3",NA
10.74465,124.78592,"2012-05-13","Visca","2",NA
10.744842,124.78579575,"2012-05-13","Visca","1",NA
