dive_num,obs_time,gps,anem_id,date,id,lat,lon
6,2018-03-07T02:54:00Z,4,2205,2018-03-07,579,10.8744356688,124.7107260721
6,2018-03-07T02:57:00Z,4,2203,2018-03-07,577,10.8744280832,124.710715028925
6,2018-03-07T02:59:00Z,4,2203,2018-03-07,575,10.874406541725,124.71068921265
6,2018-03-07T03:04:00Z,4,2204,2018-03-07,573,10.874398306475001,124.71067766659999
6,2018-03-07T03:05:00Z,4,2204,2018-03-07,572,10.87439067895,124.71066498895
6,2018-03-07T03:14:00Z,4,2208,2018-03-07,570,10.874318364075,124.71083765615
6,2018-03-07T03:16:00Z,4,2566,2018-03-07,569,10.874361405150001,124.710770978125
6,2018-03-07T03:28:00Z,4,2620,2018-03-07,568,10.87431170045,124.710620669675
6,2018-03-07T03:38:00Z,4,2642,2018-03-07,566,10.874206759025,124.71064958722499
6,2018-03-07T03:45:00Z,4,2640,2018-03-07,565,10.8741403534,124.710742207225
6,2018-03-07T03:50:00Z,4,2011,2018-03-07,564,10.8740587556,124.71076661955
6,2018-03-07T03:51:00Z,4,2012,2018-03-07,563,10.874061710174999,124.7108021169
7,2018-03-07T06:04:00Z,4,2951,2018-03-07,562,10.874098800125001,124.710803164625
7,2018-03-07T06:13:00Z,4,2616,2018-03-07,560,10.87400301595,124.71080442192499
7,2018-03-07T06:14:00Z,4,2615,2018-03-07,559,10.873998950725,124.710806245
7,2018-03-07T06:25:00Z,4,2614,2018-03-07,558,10.87402889505,124.710724605225
7,2018-03-07T06:36:00Z,4,2910,2018-03-07,556,10.874021707575,124.710593449425
7,2018-03-07T06:49:00Z,4,2640,2018-03-07,554,10.8741416526,124.710743129225
7,2018-03-07T07:03:00Z,4,2639,2018-03-07,553,10.8740674099,124.71085624305
7,2018-03-07T07:20:00Z,4,2635,2018-03-07,552,10.873750846375,124.71065289805
7,2018-03-07T07:32:00Z,4,2637,2018-03-07,607,10.873875569075,124.7106046602
7,2018-03-07T07:39:00Z,4,2197,2018-03-07,550,10.8739401307,124.71043415135
7,2018-03-07T07:48:00Z,4,947,2018-03-07,546,10.87403478335,124.71044368575
7,2018-03-07T07:50:00Z,4,2196,2018-03-07,544,10.87401110445,124.710499634975
8,2018-03-08T02:40:00Z,4,2952,2018-03-08,543,10.86017090595,124.7225502762
8,2018-03-08T03:03:00Z,4,2427,2018-03-08,542,10.8601100743,124.7224390274
8,2018-03-08T03:12:00Z,4,2953,2018-03-08,539,10.859753906249999,124.7226027888
8,2018-03-08T03:21:00Z,4,2954,2018-03-08,630,10.859705752225,124.722762987925
8,2018-03-08T03:29:00Z,4,2955,2018-03-08,536,10.859686725300001,124.72289374565
8,2018-03-08T03:55:00Z,4,2956,2018-03-08,641,10.857764733975,124.723774180725
9,2018-03-08T05:52:00Z,4,2957,2018-03-08,534,10.871587519075,124.714189076325
9,2018-03-08T05:54:00Z,4,2032,2018-03-08,532,10.871588734425,124.7141772369
9,2018-03-08T05:59:00Z,4,2032,2018-03-08,531,10.871589928875,124.714199008875
9,2018-03-08T06:02:00Z,4,2958,2018-03-08,529,10.871589300225,124.71422099042499
9,2018-03-08T06:06:00Z,4,2283,2018-03-08,528,10.87152425665,124.714275766125
9,2018-03-08T06:14:00Z,4,2959,2018-03-08,527,10.87145250755,124.71420011947501
9,2018-03-08T06:25:00Z,4,2960,2018-03-08,526,10.871422311749999,124.714198464075
9,2018-03-08T06:28:00Z,4,2888,2018-03-08,525,10.8714245539,124.714207914675
9,2018-03-08T06:31:00Z,4,2888,2018-03-08,521,10.871432579575,124.714193749225
9,2018-03-08T06:38:00Z,4,2962,2018-03-08,518,10.87145101975,124.714148466
9,2018-03-08T06:42:00Z,4,2962,2018-03-08,571,10.871412944975,124.714165586025
