lat,lon,obs_time,anem_id
10.743805279475,124.78658305015,2018-03-03T05:43:00Z,2309
10.743589131175,124.786507592075,2018-03-03T06:23:00Z,2310
10.8728645439,124.71220883075,2018-03-04T01:54:00Z,2238
10.872869321625,124.71218039515,2018-03-04T02:02:00Z,2493
10.87288287935,124.71217268379999,2018-03-04T02:04:00Z,876
10.872868273875,124.71213536335,2018-03-04T02:08:00Z,2938
10.87290917755,124.712150953675,2018-03-04T02:19:00Z,2624
10.872934029900001,124.712180290375,2018-03-04T02:28:00Z,2237
10.872998842975,124.71218682825,2018-03-04T02:29:00Z,2626
10.873102569025,124.712171489375,2018-03-04T02:41:00Z,2625
10.8732228074,124.71234482712501,2018-03-04T03:00:00Z,2939
10.873250782025,124.7123706434,2018-03-04T03:06:00Z,2941
10.873220649075,124.7124294215,2018-03-04T03:08:00Z,2941
10.8732294501,124.712435666,2018-03-04T03:09:00Z,2940
10.873202460375,124.7123889369,2018-03-04T03:22:00Z,2942
10.873295436625,124.71217339625,2018-03-04T03:38:00Z,2021
10.873404652825,124.712127631075,2018-03-04T03:44:00Z,2943
10.87364269885,124.711008584125,2018-03-04T05:37:00Z,2221
10.873673020424999,124.711050619375,2018-03-04T05:39:00Z,2944
10.87371731875,124.711092507925,2018-03-04T05:47:00Z,2216
10.873755728825,124.711048062875,2018-03-04T05:59:00Z,2945
10.873741752,124.7112242924,2018-03-04T06:08:00Z,2217
10.873673711925,124.7112852498,2018-03-04T06:13:00Z,2218
10.873645925875,124.711548902575,2018-03-04T06:26:00Z,2572
10.8735385956,124.711758114875,2018-03-04T06:37:00Z,2630
10.87310816395,124.7116091056,2018-03-04T06:51:00Z,2485
10.8731055446,124.711604746975,2018-03-04T06:53:00Z,2485
10.873110217499999,124.7116148053,2018-03-04T06:55:00Z,916
10.873116566825,124.711605689975,2018-03-04T06:57:00Z,2610
10.873118243175,124.7115893243,2018-03-04T06:58:00Z,914
10.872844783575001,124.7119321022,2018-03-05T02:06:00Z,424
10.872891407925,124.711844238925,2018-03-05T02:12:00Z,2611
10.872931221950001,124.71185840435,2018-03-05T02:18:00Z,2018
10.87275953965,124.71181087892501,2018-03-05T02:27:00Z,2490
10.8727408061,124.711814629825,2018-03-05T02:37:00Z,2489
10.872981953450001,124.7115950659,2018-03-05T02:47:00Z,2487
10.8729621512,124.71156262792499,2018-03-05T02:50:00Z,2486
10.8734465623,124.7120598005,2018-03-05T03:09:00Z,2946
10.873464625325,124.71210087185,2018-03-05T03:11:00Z,920
10.873523256725,124.711997648725,2018-03-05T03:22:00Z,2228
10.873505675699999,124.71209896495,2018-03-05T03:36:00Z,2226
10.873171656875,124.711991529925,2018-03-05T03:49:00Z,432
10.87315937735,124.712039998275,2018-03-05T03:53:00Z,2628
10.873300821975,124.71180976835001,2018-03-05T05:47:00Z,2644
10.873518122825,124.7116933437,2018-03-05T05:52:00Z,2224
10.873561080075,124.7110853414,2018-03-05T06:01:00Z,2570
10.873547857624999,124.71110996325,2018-03-05T06:03:00Z,2634
10.873577403825,124.7110570944,2018-03-05T06:09:00Z,2220
10.873531659575,124.710989200975,2018-03-05T06:17:00Z,2222
10.8735532011,124.71098356415,2018-03-05T06:27:00Z,2223
10.87384696585,124.710868438725,2018-03-05T06:32:00Z,2618
10.873858009,124.71088551685,2018-03-05T06:34:00Z,942
10.87379648585,124.710871456175,2018-03-05T06:35:00Z,2008
10.873852204550001,124.7107585729,2018-03-05T06:49:00Z,2201
10.87386433735,124.71075213980001,2018-03-05T06:53:00Z,2617
10.873887701875,124.71068022305,2018-03-05T07:04:00Z,2613
10.873892416724999,124.71068973655,2018-03-05T07:11:00Z,2014
10.874474560874999,124.71053351879999,2018-03-07T02:16:00Z,2002
10.87453101295,124.71059112345,2018-03-07T02:30:00Z,2948
10.8744688821,124.71070830245,2018-03-07T02:39:00Z,2949
10.874460919275,124.71069172725,2018-03-07T02:45:00Z,2950
10.8744356688,124.7107260721,2018-03-07T02:54:00Z,2205
10.8744280832,124.710715028925,2018-03-07T02:57:00Z,2203
10.874406541725,124.71068921265,2018-03-07T02:59:00Z,2203
10.874398306475001,124.71067766659999,2018-03-07T03:04:00Z,2204
10.87439067895,124.71066498895,2018-03-07T03:05:00Z,2204
10.874318364075,124.71083765615,2018-03-07T03:14:00Z,2208
10.874361405150001,124.710770978125,2018-03-07T03:16:00Z,2566
10.87431170045,124.710620669675,2018-03-07T03:28:00Z,2620
10.874206759025,124.71064958722499,2018-03-07T03:38:00Z,2642
10.8741403534,124.710742207225,2018-03-07T03:45:00Z,2640
10.8740587556,124.71076661955,2018-03-07T03:50:00Z,2011
10.874061710174999,124.7108021169,2018-03-07T03:51:00Z,2012
10.874098800125001,124.710803164625,2018-03-07T06:04:00Z,2951
10.87400301595,124.71080442192499,2018-03-07T06:13:00Z,2616
10.873998950725,124.710806245,2018-03-07T06:14:00Z,2615
10.87402889505,124.710724605225,2018-03-07T06:25:00Z,2614
10.874021707575,124.710593449425,2018-03-07T06:36:00Z,2910
10.8741416526,124.710743129225,2018-03-07T06:49:00Z,2640
10.8740674099,124.71085624305,2018-03-07T07:03:00Z,2639
10.873750846375,124.71065289805,2018-03-07T07:20:00Z,2635
10.873875569075,124.7106046602,2018-03-07T07:32:00Z,2637
10.8739401307,124.71043415135,2018-03-07T07:39:00Z,2197
10.87403478335,124.71044368575,2018-03-07T07:48:00Z,947
10.87401110445,124.710499634975,2018-03-07T07:50:00Z,2196
10.86017090595,124.7225502762,2018-03-08T02:40:00Z,2952
